node_id,name,type,pagerank
20884,内科,Department,0.0011639809205435067
15485,白酒,Food,0.00112780419234113
20597,血常规,Check,0.0011173882552680664
20864,外科,Department,0.0009153129389018385
15542,鸡蛋,Food,0.0008869138082472444
17488,啤酒,Food,0.0008515697603925007
11047,醋酸泼尼松片,Drug,0.000743137686042043
12914,鸡肉,Food,0.0007336692091708779
9597,维生素B2片,Drug,0.0007308692846655077
10079,消癌平片,Drug,0.0007243411884310686
10534,卡托普利片,Drug,0.0007181088570621233
9453,盐酸左氧氟沙星胶囊,Drug,0.0007088855087926156
11099,诺氟沙星胶囊,Drug,0.0007058326036763697
10444,盐酸左氧氟沙星片,Drug,0.0006954193344516186
19499,尿常规,Check,0.0006928781948341451
9773,苯妥英钠片,Drug,0.0006799725728668318
14759,芝麻,Food,0.0006772118233228414
11807,人血白蛋白,Drug,0.0006680053131068939
9127,吡拉西坦片,Drug,0.0006639793526785641
12411,苦参碱氯化钠注射液,Drug,0.0006593001518054686
8829,盐酸左旋咪唑片,Drug,0.0006578985186116773
11058,醋酸地塞米松片,Drug,0.0006427229014955892
11110,琥乙红霉素片,Drug,0.0006401061362049955
10917,马来酸氯苯那敏片,Drug,0.0006357235713930831
9503,头孢氨苄胶囊,Drug,0.000634351824318089
11007,维生素C片,Drug,0.0006244822696744623
8865,乙酰螺旋霉素片,Drug,0.0006237023778378014
10676,注射用头孢噻肟钠,Drug,0.000622631832574679
11827,地塞米松磷酸钠注射液,Drug,0.0006157215539097724
9094,三磷酸腺苷二钠注射液,Drug,0.0006048901229539037
10114,呋塞米注射液,Drug,0.0006048399612628657
9652,宁心宝胶囊,Drug,0.0006015632985313105
9689,人工牛黄甲硝唑胶囊,Drug,0.00058576215499343
11063,维生素E软胶囊,Drug,0.0005846285036317188
9985,补中益气丸,Drug,0.0005826206260523126
15326,南瓜子仁,Food,0.0005797659398251502
10661,溴丙胺太林片,Drug,0.0005787997731753051
19066,心电图,Check,0.0005784962136354007
13069,白扁豆,Food,0.0005715964488871318
11193,甘露醇注射液,Drug,0.0005656137035429336
11486,盐酸吗啉胍片,Drug,0.0005624338951326983
12247,维A酸乳膏,Drug,0.0005608417561694657
9024,硬脂酸红霉素片,Drug,0.000546500252509462
11358,阿苯达唑片,Drug,0.0005448294118677535
10918,依托红霉素片,Drug,0.0005431871424642473
11064,利胆片,Drug,0.0005415505179177781
11120,注射用单磷酸阿糖腺苷,Drug,0.0005402769542134968
10882,吡拉西坦注射液,Drug,0.0005396289282990821
17243,葵花子仁,Food,0.0005361639859792877
10193,丙硫氧嘧啶片,Drug,0.0005322228063171094
8896,明目地黄丸,Drug,0.0005298817640948421
11402,氯霉素滴眼液,Drug,0.0005227505648778829
9738,复合维生素B片,Drug,0.0005226209583144378
9146,氯霉素片,Drug,0.000521580097521044
11885,颠茄片,Drug,0.0005177288878904509
10571,消炎利胆片,Drug,0.0005171894993501833
10667,杞菊地黄丸,Drug,0.0005158753453673229
11719,利巴韦林含片,Drug,0.0005144689222457385
9939,藻酸双酯钠片,Drug,0.0005083397403410074
12963,杏仁,Food,0.0005072818952775736
12440,阿司匹林肠溶片,Drug,0.0005052657600972901
20871,五官科,Department,0.0005000707796587215
20736,便常规,Check,0.0004991563980385844
12427,防风通圣丸,Drug,0.0004954248778507958
42043,腹痛,Symptom,0.0004954242368918446
11943,紫杉醇注射液,Drug,0.0004909736854146352
9308,西洛他唑片,Drug,0.00048812514808336106
12138,盐酸硫必利片,Drug,0.00048120747061141886
10200,麝香接骨胶囊,Drug,0.0004806000874991184
11529,氯化钠注射液,Drug,0.0004791124873128578
11843,曲咪新乳膏,Drug,0.0004780289817816308
9381,盐酸克林霉素胶囊,Drug,0.00047656497997232
39047,恶心,Symptom,0.0004746562878376195
8898,复方磺胺甲噁唑片,Drug,0.0004740759967392059
19427,CT检查,Check,0.0004739978130401811
12136,盐酸普罗帕酮片,Drug,0.0004706070218931036
10874,接骨续筋片,Drug,0.0004692690288635125
12330,麝香壮骨膏,Drug,0.0004679165572104611
9851,羧甲司坦片,Drug,0.0004665775037018957
10564,磷酸氯喹片,Drug,0.0004660597338258976
12268,螺内酯片,Drug,0.00046566806730328293
12066,吡喹酮片,Drug,0.00046402424533573247
12462,过氧化氢溶液,Drug,0.0004633832102011046
12237,叶酸片,Drug,0.0004632159768176431
13104,绿豆,Food,0.0004622720080561798
11803,碳酸氢钠注射液,Drug,0.0004600197278434836
9658,安胎丸,Drug,0.0004585530646442436
10033,氢氯噻嗪片,Drug,0.00045365926853443154
11660,硫酸锌片,Drug,0.00045348208240404177
9186,醋酸甲萘氢醌片,Drug,0.00045320987329378157
12625,注射用头孢呋辛钠,Drug,0.000452048770574397
12373,乳酸菌素片,Drug,0.0004517229638086133
12537,甲硝唑片,Drug,0.0004480996263262638
11506,依托红霉素颗粒,Drug,0.00044729692024133276
9732,环磷腺苷葡胺注射液,Drug,0.0004469143535616854
12999,腰果,Food,0.0004447998052277613
12140,眼氨肽注射液,Drug,0.0004414605802263914
9627,小儿麻甘颗粒,Drug,0.00043699829840304096
10263,注射用异环磷酰胺,Drug,0.00043555596237641756
10118,阿莫西林颗粒,Drug,0.0004346772447453842
11767,氧氟沙星滴眼液,Drug,0.0004342958673552112
11153,氨茶碱片,Drug,0.0004334573320540227
10164,天王补心丸,Drug,0.0004305812713612937
12515,三磷酸腺苷二钠片,Drug,0.00042894539774564433
9254,利胆排石片,Drug,0.00042810044031563855
10580,三七片,Drug,0.00042512321043461056
9236,复方甲苯咪唑片,Drug,0.00042458508935819635
9699,尼群地平片,Drug,0.0004233176831574154
11597,阿昔洛韦片,Drug,0.00042327953701038395
20877,皮肤科,Department,0.0004226083300537419
9974,双嘧达莫片,Drug,0.0004220252707718877
9533,地巴唑片,Drug,0.0004193929285537737
11308,血尿胶囊,Drug,0.00041785608813516364
12340,茴香橘核丸,Drug,0.000417543306518339
8968,葡萄糖注射液,Drug,0.00041561499847596334
12628,托吡卡胺滴眼液,Drug,0.0004131263592483842
11530,板蓝根颗粒,Drug,0.0004118464880420841
9849,卡马西平片,Drug,0.00041116571822409046
12036,注射用硫酸链霉素,Drug,0.0004107652985944994
9891,双氯芬酸钠肠溶片,Drug,0.00041071401675432103
38236,呼吸困难,Symptom,0.00040981835931672606
9327,石淋通颗粒,Drug,0.00040970667416537297
11567,维生素B1片,Drug,0.0004071806348201933
11764,氧氟沙星片,Drug,0.0004058867482313978
11875,陈香露白露片,Drug,0.0004054343261246025
9036,硝酸咪康唑乳膏,Drug,0.00040390971849943365
9180,肾石通颗粒,Drug,0.0004013104200372198
12281,酚磺乙胺注射液,Drug,0.0003980603602711679
10150,水杨酸苯酚贴膏,Drug,0.0003977897066936463
10801,双氯芬酸钠滴眼液,Drug,0.0003975290447053219
10968,黄柏胶囊,Drug,0.0003971685672151708
20619,胸部平片,Check,0.0003966025364714598
9997,氨甲环酸注射液,Drug,0.0003955141618423656
12366,甲巯咪唑片,Drug,0.00039478012102651987
